"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple","2,3,6,7,9","1111","0","NETTALK DUO WIFI MCAFEE BUNDLE","","","/1/1/1111.jpg","/1/1/1111.jpg","/1/1/1111.jpg","nettalk-duo-wifi-mcafee-bundle-1-month-free-nettalk-duo-wi-fi-voip-gateway-mcafee-2015-multi-access-samsung-hm1300-bluetooth-handsfree-headset-silicone-smerge-cell-phone-case","nettalk-duo-wifi-mcafee-bundle-1-month-free-nettalk-duo-wi-fi-voip-gateway-mcafee-2015-multi-access-samsung-hm1300-bluetooth-handsfree-headset-silicone-smerge-cell-phone-case.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","59.0000","","1.0000","","Enabled","No","Catalog, Search","None","NETTALK DUO WIFI MCAFEE BUNDLE","NETTALK DUO WIFI MCAFEE BUNDLE","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","NETTALK DUO WIFI MCAFEE BUNDLE","0","simple","",""
"admin","base","Default","simple","2,3,6,7,9","1112","0","Samsung HM1300 Handsfree Headset","","","/1/1/1112.jpg","/1/1/1112.jpg","/1/1/1112.jpg","samsung-hm1300-handsfree-headset-bluetooth-micro-usb-charger-black-bhm1300nbacst1","samsung-hm1300-handsfree-headset-bluetooth-micro-usb-charger-black-bhm1300nbacst1.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","599.0000","","1.0000","","Enabled","No","Catalog, Search","None","Samsung HM1300 Handsfree Headset","Samsung HM1300 Handsfree Headset","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Samsung HM1300 Handsfree Headset","0","simple","",""
"admin","base","Default","simple","2,3,6,7,9","1113","0","Samsung HM1900 Handsfree Headset","","","/1/1/1113.jpg","/1/1/1113.jpg","/1/1/1113.jpg","samsung-hm1900-handsfree-headset-bluetooth-micro-usb-charger-gray-bhm1900ndacst1","samsung-hm1900-handsfree-headset-bluetooth-micro-usb-charger-gray-bhm1900ndacst1.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","9.0000","","1.0000","","Enabled","No","Catalog, Search","None","Samsung HM1900 Handsfree Headset","Samsung HM1900 Handsfree Headset","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Samsung HM1900 Handsfree Headset","0","simple","",""
"admin","base","Default","simple","2,3,6,7,9","1114","0","Kensington PowerBolt 3.4 Fast Charger","","","/1/1/1114.jpg","/1/1/1114.jpg","/1/1/1114.jpg","kensington-powerbolt-3-4-fast-charger-micro-usb-cable-for-car-k38119ww","kensington-powerbolt-3-4-fast-charger-micro-usb-cable-for-car-k38119ww.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","29.0000","","1.0000","","Enabled","No","Catalog, Search","None","Kensington PowerBolt 3.4 Fast Charger","Kensington PowerBolt 3.4 Fast Charger","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Kensington PowerBolt 3.4 Fast Charger","0","simple","",""
"admin","base","Default","simple","2,3,6,7,9","1115","0","Power UP 1800mAh USB Portable Charger","","","/1/1/1115.jpg","/1/1/1115.jpg","/1/1/1115.jpg","power-up-1800mah-usb-portable-charger-universal-power-stick-5v-indicator-light-white-pob-102572642","power-up-1800mah-usb-portable-charger-universal-power-stick-5v-indicator-light-white-pob-102572642.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","799.0000","","1.0000","","Enabled","No","Catalog, Search","None","Power UP 1800mAh USB Portable Charger","Power UP 1800mAh USB Portable Charger","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Power UP 1800mAh USB Portable Charger","0","simple","",""
"admin","base","Default","simple","2,3,6,7,9","1116","0","zBoost SOHO Dual Band Cell Phone Signal Booster","","","/1/1/1116.jpg","/1/1/1116.jpg","/1/1/1116.jpg","zboost-soho-dual-band-cell-phone-signal-booster-2-500-sq-ft-range-omnidirectional-indoor-use-cdma-gsm-gprs-edge-evdo-1xrtt-umts-hspa-3g-zb545-zb545","zboost-soho-dual-band-cell-phone-signal-booster-2-500-sq-ft-range-omnidirectional-indoor-use-cdma-gsm-gprs-edge-evdo-1xrtt-umts-hspa-3g-zb545-zb545.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","229.0000","","1.0000","","Enabled","No","Catalog, Search","None","zBoost SOHO Dual Band Cell Phone Signal Booster","zBoost SOHO Dual Band Cell Phone Signal Booster","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","zBoost SOHO Dual Band Cell Phone Signal Booster","0","simple","",""
"admin","base","Default","simple","2,3,6,7,9","1117","0","zBoost SOHO MAX Dual Band Cell Phone Signal Booster","","","/1/1/1117.jpg","/1/1/1117.jpg","/1/1/1117.jpg","zboost-soho-max-dual-band-cell-phone-signal-booster-3-500-sq-ft-range-omnidirectional-indoor-use-cdma-gsm-gprs-edge-evdo-1xrtt-umts-hspa-3g-zb545m","zboost-soho-max-dual-band-cell-phone-signal-booster-3-500-sq-ft-range-omnidirectional-indoor-use-cdma-gsm-gprs-edge-evdo-1xrtt-umts-hspa-3g-zb545m.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","279.0000","","1.0000","","Enabled","No","Catalog, Search","None","zBoost SOHO MAX Dual Band Cell Phone Signal Booster","zBoost SOHO MAX Dual Band Cell Phone Signal Booster","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","zBoost SOHO MAX Dual Band Cell Phone Signal Booster","0","simple","",""
"admin","base","Default","simple","2,3,6,7,11","1121","0","Samsung Galaxy S4 Mini Unlocked GSM Android 4.2.2 SmartPhone","","","/1/1/1121.jpg","/1/1/1121.jpg","/1/1/1121.jpg","samsung-galaxy-s4-mini-unlocked-gsm-android-4-2-2-smartphone","samsung-galaxy-s4-mini-unlocked-gsm-android-4-2-2-smartphone.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","299.0000","","1.0000","","Enabled","No","Catalog, Search","None","Samsung Galaxy S4 Mini Unlocked GSM Android 4.2.2 SmartPhone","Samsung Galaxy S4 Mini Unlocked GSM Android 4.2.2 SmartPhone","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Samsung Galaxy S4 Mini Unlocked GSM Android 4.2.2 SmartPhone","0","simple","",""
"admin","base","Default","simple","2,3,6,7,11","1122","0","BLU Studio 5.5 D610a Unlocked GSM Dual-SIM Android Cell","","","/1/1/1122.jpg","/1/1/1122.jpg","/1/1/1122.jpg","blu-studio-5-5-d610a-unlocked-gsm-dual-sim-android-cell","blu-studio-5-5-d610a-unlocked-gsm-dual-sim-android-cell.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","149.0000","","1.0000","","Enabled","No","Catalog, Search","None","BLU Studio 5.5 D610a Unlocked GSM Dual-SIM Android Cell","BLU Studio 5.5 D610a Unlocked GSM Dual-SIM Android Cell","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BLU Studio 5.5 D610a Unlocked GSM Dual-SIM Android Cell","0","simple","",""
"admin","base","Default","simple","2,3,6,7,11","1123","0","BLU Studio 5.0 II Unlocked GSM Dual-SIM Android Cell Phone","","","/1/1/1123.jpg","/1/1/1123.jpg","/1/1/1123.jpg","blu-studio-5-0-ii-unlocked-gsm-dual-sim-android-cell-phone","blu-studio-5-0-ii-unlocked-gsm-dual-sim-android-cell-phone.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","109.0000","","1.0000","","Enabled","No","Catalog, Search","None","BLU Studio 5.0 II Unlocked GSM Dual-SIM Android Cell Phone","BLU Studio 5.0 II Unlocked GSM Dual-SIM Android Cell Phone","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BLU Studio 5.0 II Unlocked GSM Dual-SIM Android Cell Phone","0","simple","",""
